timestamp,x,y,z
2025-07-23 17:51:27.648,0.01,-0.97,-0.24
2025-07-23 17:51:28.650,0.01,-0.97,-0.24
2025-07-23 17:51:29.652,0.01,-0.96,-0.24
2025-07-23 17:51:30.655,0.01,-0.97,-0.24
2025-07-23 17:51:31.657,0.01,-0.97,-0.24
2025-07-23 17:51:32.659,0.01,-0.97,-0.24
2025-07-23 17:51:33.661,0.01,-0.97,-0.24
2025-07-23 17:51:34.663,0.01,-0.96,-0.24
2025-07-23 17:51:35.665,0.01,-0.97,-0.24
2025-07-23 17:51:36.667,0.01,-0.96,-0.24
2025-07-23 17:51:37.670,0.01,-0.97,-0.24
2025-07-23 17:51:38.672,0.01,-0.97,-0.24
2025-07-23 17:51:39.674,0.01,-0.97,-0.24
2025-07-23 17:51:40.676,0.01,-0.97,-0.24
2025-07-23 17:51:41.678,0.01,-0.97,-0.24
2025-07-23 17:51:42.681,0.01,-0.97,-0.24
2025-07-23 17:51:43.683,0.01,-0.97,-0.24
2025-07-23 17:51:44.684,0.01,-0.97,-0.24
2025-07-23 17:51:45.686,0.01,-0.97,-0.24
2025-07-23 17:51:46.688,0.01,-0.96,-0.24
2025-07-23 17:51:47.691,0.01,-0.97,-0.24
2025-07-23 17:51:48.693,0.01,-0.97,-0.24
2025-07-23 17:51:49.695,0.01,-0.97,-0.24
2025-07-23 17:51:50.697,0.01,-0.97,-0.24
2025-07-23 17:51:51.699,0.01,-0.97,-0.24
2025-07-23 17:51:52.701,0.01,-0.97,-0.24
2025-07-23 17:51:53.704,0.01,-0.97,-0.24
2025-07-23 17:51:54.705,0.01,-0.96,-0.24
2025-07-23 17:51:55.707,0.01,-0.97,-0.24
2025-07-23 17:51:56.709,0.01,-0.97,-0.24
2025-07-23 17:51:57.712,0.01,-0.97,-0.23
2025-07-23 17:51:58.714,0.01,-0.97,-0.23
2025-07-23 17:51:59.716,0.01,-0.96,-0.24
2025-07-23 17:52:00.718,0.01,-0.97,-0.24
2025-07-23 17:52:01.720,0.01,-0.96,-0.23
2025-07-23 17:52:02.723,0.01,-0.97,-0.24
2025-07-23 17:52:03.724,0.01,-0.96,-0.23
2025-07-23 17:52:04.727,0.01,-0.96,-0.23
2025-07-23 17:52:05.728,0.01,-0.97,-0.24
2025-07-23 17:52:06.730,0.01,-0.97,-0.24
2025-07-23 17:52:07.733,0.01,-0.97,-0.24
2025-07-23 17:52:08.735,0.01,-0.97,-0.24
2025-07-23 17:52:09.737,0.01,-0.97,-0.23
2025-07-23 17:52:10.739,0.01,-0.97,-0.23
2025-07-23 17:52:11.741,0.01,-0.96,-0.24
2025-07-23 17:52:12.744,0.01,-0.97,-0.24
2025-07-23 17:52:13.745,0.01,-0.97,-0.24
2025-07-23 17:52:14.747,0.01,-0.97,-0.24
2025-07-23 17:52:15.750,0.01,-0.97,-0.24
2025-07-23 17:52:16.751,0.01,-0.97,-0.24
2025-07-23 17:52:17.754,0.01,-0.96,-0.24
2025-07-23 17:52:18.756,0.01,-0.97,-0.23
2025-07-23 17:52:19.758,0.01,-0.97,-0.24
2025-07-23 17:52:20.760,0.01,-0.97,-0.24
2025-07-23 17:52:21.762,0.01,-0.97,-0.24
2025-07-23 17:52:22.765,0.01,-0.97,-0.24
2025-07-23 17:52:23.766,0.01,-0.97,-0.24
2025-07-23 17:52:24.768,0.01,-0.96,-0.24
2025-07-23 17:52:25.770,0.01,-0.97,-0.24
2025-07-23 17:52:26.773,0.01,-0.96,-0.23
2025-07-23 17:52:27.775,0.01,-0.97,-0.24
2025-07-23 17:52:28.777,0.01,-0.97,-0.24
2025-07-23 17:52:29.779,0.01,-0.96,-0.24
2025-07-23 17:52:30.781,0.01,-0.97,-0.24
2025-07-23 17:52:31.783,0.01,-0.97,-0.24
2025-07-23 17:52:32.785,0.01,-0.97,-0.24
2025-07-23 17:52:33.787,0.01,-0.97,-0.24
2025-07-23 17:52:34.790,0.01,-0.97,-0.24
2025-07-23 17:52:35.791,0.01,-0.97,-0.24
2025-07-23 17:52:36.793,0.01,-0.97,-0.24
2025-07-23 17:52:37.796,0.01,-0.97,-0.24
2025-07-23 17:52:38.798,0.01,-0.97,-0.24
2025-07-23 17:52:39.800,0.01,-0.97,-0.24
2025-07-23 17:52:40.803,0.01,-0.97,-0.24
2025-07-23 17:52:41.804,0.01,-0.96,-0.24
