ts,x,y,z
2025-09-28T06:30:25.374000Z,-0.183,0.916,-0.305
2025-09-28T06:30:25.865000Z,-0.061,0.916,-0.244
2025-09-28T06:30:26.281000Z,-0.366,0.854,-0.549
2025-09-28T06:30:26.687000Z,0.0,0.854,-0.305
2025-09-28T06:30:27.099000Z,-0.977,0.793,-0.61
2025-09-28T06:30:27.515000Z,0.061,0.916,-0.122
2025-09-28T06:30:27.910000Z,-0.305,0.854,-0.427
2025-09-28T06:30:28.940000Z,-0.488,0.854,-0.366
2025-09-28T06:30:29.312000Z,-0.183,0.916,-0.183
2025-09-28T06:30:29.970000Z,-0.366,0.793,0.244
2025-09-28T06:30:30.287000Z,0.061,0.977,-0.122
2025-09-28T06:30:31.007000Z,-0.244,0.916,-0.366
2025-09-28T06:30:31.315000Z,-0.305,0.793,-0.488
2025-09-28T06:30:31.791000Z,-0.732,0.793,-0.916
